Date,Route,Price_USD,Origin_LSCI,Dest_LSCI,Route_Mean_LSCI,Route_Mean_air,air_South_China_Sea,air_Indian_Ocean,air_Arabian_Sea,air_Red_Sea,air_Mediterranean_Sea,air_North_Atlantic,air_North_Sea,Route_Mean_slp,slp_South_China_Sea,slp_Indian_Ocean,slp_Arabian_Sea,slp_Red_Sea,slp_Mediterranean_Sea,slp_North_Atlantic,slp_North_Sea,Route_Mean_wind_speed,wind_speed_South_China_Sea,wind_speed_Indian_Ocean,wind_speed_Arabian_Sea,wind_speed_Red_Sea,wind_speed_Mediterranean_Sea,wind_speed_North_Atlantic,wind_speed_North_Sea,cyclone_wind_South_China_Sea,cyclone_slp_South_China_Sea,cyclone_dist_South_China_Sea,cyclone_active_South_China_Sea,cyclone_wind_Indian_Ocean,cyclone_slp_Indian_Ocean,cyclone_dist_Indian_Ocean,cyclone_active_Indian_Ocean,cyclone_wind_Arabian_Sea,cyclone_slp_Arabian_Sea,cyclone_dist_Arabian_Sea,cyclone_active_Arabian_Sea,cyclone_wind_Red_Sea,cyclone_slp_Red_Sea,cyclone_dist_Red_Sea,cyclone_active_Red_Sea,cyclone_wind_Mediterranean_Sea,cyclone_slp_Mediterranean_Sea,cyclone_dist_Mediterranean_Sea,cyclone_active_Mediterranean_Sea,cyclone_wind_North_Atlantic,cyclone_slp_North_Atlantic,cyclone_dist_North_Atlantic,cyclone_active_North_Atlantic,cyclone_wind_North_Sea,cyclone_slp_North_Sea,cyclone_dist_North_Sea,cyclone_active_North_Sea,Route_Max_cyclone_wind,Route_Min_cyclone_slp,Route_Min_cyclone_dist,Route_cyclone_active,air_North_Pacific_West,air_North_Pacific_East,slp_North_Pacific_West,slp_North_Pacific_East,wind_speed_North_Pacific_West,wind_speed_North_Pacific_East,cyclone_wind_North_Pacific_West,cyclone_slp_North_Pacific_West,cyclone_dist_North_Pacific_West,cyclone_active_North_Pacific_West,cyclone_wind_North_Pacific_East,cyclone_slp_North_Pacific_East,cyclone_dist_North_Pacific_East,cyclone_active_North_Pacific_East
2024-01-16,XSICNEFE_NorthEurope_FarEast,394,37.66,55.922222222222224,46.79111111111111,289.71160394033495,296.07811935416663,299.9213763585526,298.8742337575758,291.7624950434783,285.5951618403361,284.95064122823527,270.79920000000004,101181.27803622602,101379.71354166667,100982.65625,101348.1313131313,101794.61956521739,101379.85294117648,101397.46470588235,99986.50793650794,3.1352295528806415,5.401928825977458,0.9590547212619773,3.0903613180660927,2.960627886522981,4.7241301089755385,1.4598667987385128,3.350637210621934,0.0,,,0.0,65.0,975.0,192.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,65.0,975.0,192.0,1.0,,,,,,,,,,,,,,
2024-01-17,XSICNEFE_NorthEurope_FarEast,405,37.66,55.922222222222224,46.79111111111111,289.9322230831046,296.50336425,299.8409304671053,298.52977595959595,292.01356373913046,286.13884451260503,284.6947412564706,271.8043413968254,100964.83238674475,101295.703125,100919.16118421052,101239.16666666667,101629.40217391304,101384.43277310925,101279.29411764706,99006.66666666667,2.910217553311905,4.577013183786977,1.181949043283972,3.2519784832369996,2.63110876283157,5.140381032343601,1.6062801343652218,1.9828122333349945,0.0,,,0.0,55.0,980.0,601.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,55.0,980.0,601.0,1.0,,,,,,,,,,,,,,
2024-01-18,XSICNEFE_NorthEurope_FarEast,410,37.66,55.922222222222224,46.79111111111111,290.0155048255781,296.67082604166666,299.8429220723684,297.60125678787875,292.0173864130435,287.5657488151261,284.6508768870588,271.75951676190476,100979.9038639498,101200.859375,100896.35690789473,101344.34343434343,101673.42391304347,101259.15966386555,100995.06470588235,99490.11904761905,3.76022553506433,3.4805835655847805,1.6361111892473947,3.4016525962983657,2.985247185649075,6.468456651961984,1.9125550191505591,6.436972537558153,0.0,,,0.0,50.0,982.0,804.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,50.0,982.0,804.0,1.0,,,,,,,,,,,,,,
2024-01-19,XSICNEFE_NorthEurope_FarEast,411,37.66,55.922222222222224,46.79111111111111,289.958515220221,296.5479050833333,299.83058167105264,297.62448133333334,291.7608564130435,286.8573406806723,284.58369455058823,272.50474680952385,101133.51977800767,101165.59895833333,100911.43092105263,101376.54040404041,101741.68478260869,101337.7731092437,100804.07058823529,100597.53968253969,3.71560369643034,3.02055032371087,1.920302357862786,4.765177582381493,2.700744346042492,3.68969364618083,3.6665512527737825,6.246206366060128,0.0,,,0.0,50.0,989.0,654.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,50.0,989.0,654.0,1.0,,,,,,,,,,,,,,
2024-01-22,XSICNEFE_NorthEurope_FarEast,415,37.66,55.922222222222224,46.79111111111111,290.3257702531472,294.5486797708333,299.9643732269737,297.5818007676768,295.0597647608696,281.8707804621849,284.33556972,278.9194230634921,101263.28995590226,101561.5625,101196.05263157895,101596.11111111111,101559.94565217392,102901.6806722689,101458.78823529412,98568.88888888889,4.497544082494028,5.189086791571133,2.6436995305014004,4.842646427783398,1.8749616241438303,2.697215336586642,3.6002533434212762,10.634945523450519,0.0,,,0.0,35.0,998.0,479.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,35.0,998.0,479.0,1.0,,,,,,,,,,,,,,
2024-01-23,XSICNEFE_NorthEurope_FarEast,412,37.66,55.922222222222224,46.79111111111111,290.0877386559108,293.31795671875,299.8593622532895,297.8151381919192,295.0075956956522,282.3004074705882,284.00816526117643,278.305545,101535.79385003672,101745.36458333333,101172.65625,101592.67676767676,101576.35869565218,102900.75630252101,101555.64117647058,100207.10317460318,4.003324103434729,5.935943186909277,2.7641509956742083,4.732159474172974,0.055550738153676726,2.6208499556040246,3.639283400385,8.275330973143946,0.0,,,0.0,40.0,997.0,22.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,40.0,997.0,22.0,1.0,,,,,,,,,,,,,,
2024-01-24,XSICNEFE_NorthEurope_FarEast,410,37.66,55.922222222222224,46.79111111111111,290.01885476805535,293.23878840624997,299.7870765460526,297.93231125252527,293.9364015,283.25670860504204,282.62951714588235,279.35117992063493,101528.92172999991,101782.890625,101113.17434210527,101510.32828282828,101555.32608695653,102896.44957983193,101880.71176470588,99963.57142857143,3.9166778137979787,6.170042299785154,2.0220746984536437,3.5849612488519793,1.8481088462910626,2.616009376128501,2.4468326912711835,8.728715535804332,0.0,,,0.0,75.0,973.0,22.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,75.0,973.0,22.0,1.0,,,,,,,,,,,,,,
2024-01-25,XSICNEFE_NorthEurope_FarEast,409,37.66,55.922222222222224,46.79111111111111,289.93856688345187,293.37811320833333,299.98757081578947,297.4951915959596,292.7912930869565,284.684439092437,282.9639283529412,278.269432031746,101718.86321815148,101902.08333333333,101196.92434210527,101506.66666666667,101510.21739130435,102591.17647058824,101703.82352941176,101621.1507936508,3.4560027671737723,5.9439347781386855,2.3305470849996963,3.1289332121395326,1.697039925007267,3.0840887263802954,2.636830346964098,5.37064529658683,0.0,,,0.0,85.0,966.0,132.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,85.0,966.0,132.0,1.0,,,,,,,,,,,,,,
2024-01-26,XSICNEFE_NorthEurope_FarEast,407,37.66,55.922222222222224,46.79111111111111,289.9480634749924,294.12210941666666,299.9820480822368,297.4994691717172,291.3434541956522,285.17455539495796,283.50015138117647,278.0146566825397,101635.64049420171,101874.97395833333,101300.95394736843,101521.08585858585,101518.69565217392,102481.97478991597,101715.5294117647,101036.26984126984,4.242883425532203,6.0794900218244825,1.9625942287133573,3.4191544301239962,3.9752635626755897,3.2840834513951798,3.0877512389280413,7.891847045064774,0.0,,,0.0,95.0,958.0,645.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,95.0,958.0,645.0,1.0,,,,,,,,,,,,,,
2024-01-29,XSICNEFE_NorthEurope_FarEast,405,37.66,55.922222222222224,46.79111111111111,289.944196561866,295.29660138541664,299.6965342203947,298.08256373737373,291.2738986521739,282.7004067815126,283.65263568,278.9067354761905,101739.8130036609,101645.49479166667,101243.77467105263,101527.17171717172,101675.70652173914,102981.84873949579,101410.48823529412,101694.20634920635,3.6714844200266072,4.444004517035033,1.9340616085251865,3.056323625666417,2.188240981030303,2.957362738692642,3.3120766108625497,7.808320858374116,0.0,,,0.0,105.0,942.0,723.0,1.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,105.0,942.0,723.0,1.0,,,,,,,,,,,,,,
